Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-08-07,22:44:52,13:49:11,59.1,296.3,06:01:43,40.4,375696,63.7%,waninggibbous,,159.1
2023-08-08,22:47:15,15:27:52,47.2,309.2,06:50:00,46.3,381710,52.6%,thirdquarter,12:28:25,162.1
2023-08-09,22:52:37,17:06:56,36.4,321.1,07:39:37,51.1,387443,41.8%,waningcrescent,,166.6
2023-08-10,23:04:38,18:42:57,27.2,331.3,08:30:51,54.7,392602,31.6%,waningcrescent,,172.3
2023-08-11,23:32:09,20:05:43,21.6,337.9,09:23:27,56.9,397004,22.4%,waningcrescent,,179.2
2023-08-12,,21:00:01,,338.2,10:16:28,57.6,400564,14.6%,waningcrescent,,186.8
2023-08-13,00:27:47,21:25:58,22.3,332.6,11:08:39,56.8,403270,8.3%,waningcrescent,,195.2
2023-08-14,01:48:26,21:37:09,28.8,323.9,11:58:50,54.7,405154,3.7%,waningcrescent,,205.0
2023-08-15,03:18:21,21:42:02,38.3,314.0,12:46:18,51.4,406262,1.0%,waningcrescent,,221.5
2023-08-16,04:48:14,21:44:01,49.1,303.4,13:30:56,47.2,406634,0.2%,newmoon,11:38:11,300.4
2023-08-17,06:15:07,21:44:34,60.4,292.6,14:13:06,42.2,406285,1.2%,waxingcrescent,,4.3
2023-08-18,07:38:58,21:44:22,72.0,281.5,14:53:29,36.8,405199,4.2%,waxingcrescent,,15.9
2023-08-19,09:00:58,21:43:49,83.7,270.3,15:32:59,31.0,403337,8.9%,waxingcrescent,,20.2
2023-08-20,10:22:55,21:43:14,95.6,259.0,16:12:39,25.2,400652,15.2%,waxingcrescent,,21.7
2023-08-21,11:46:54,21:42:55,107.7,247.5,16:53:35,19.4,397108,23.1%,waxingcrescent,,21.3
2023-08-22,13:15:10,21:43:17,119.9,236.0,17:36:59,13.9,392707,32.3%,waxingcrescent,,19.3
2023-08-23,14:49:42,21:45:10,132.2,224.5,18:24:06,9.0,387525,42.5%,waxingcrescent,,15.6
2023-08-24,16:31:06,21:50:29,144.2,213.4,19:15:55,5.0,381734,53.4%,firstquarter,11:57:17,10.4
2023-08-25,18:15:00,22:04:52,155.0,203.7,20:12:54,2.3,375630,64.5%,waxinggibbous,,3.6
2023-08-26,19:42:35,22:45:47,160.7,199.2,21:14:20,1.4,369638,75.3%,waxinggibbous,,355.6
2023-08-27,20:28:18,,156.8,,22:18:05,2.2,364289,84.9%,waxinggibbous,,346.8
